t,alpha,w,h,ring,horns,eyes,copy,drain,line,tilt,turn,squash,wink,horn_lag,frame
684,1.000000,308,76,0.785948,0.407862,0.000000,1.000000,0.975194,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,31
688,1.000000,308,76,0.796389,0.462170,0.000000,1.000000,0.973643,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,32
692,1.000000,308,76,0.806425,0.512970,0.000000,1.000000,0.972093,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,32
696,1.000000,308,76,0.816071,0.560398,0.000000,1.000000,0.970543,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,33
700,1.000000,308,76,0.825339,0.604589,0.000000,1.000000,0.968992,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,33
704,1.000000,308,76,0.834246,0.645673,0.000000,1.000000,0.967442,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,34
708,1.000000,308,76,0.842802,0.683777,0.000000,1.000000,0.965891,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,34
712,1.000000,308,76,0.851022,0.719025,0.000000,1.000000,0.964341,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,35
716,1.000000,308,76,0.858916,0.751537,0.000000,1.000000,0.962791,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,35
720,1.000000,308,76,0.866497,0.781434,0.000000,1.000000,0.961240,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,36
724,1.000000,308,76,0.873775,0.808830,0.000000,1.000000,0.959690,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,36
728,1.000000,308,76,0.880762,0.833839,0.000000,1.000000,0.958140,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,37
732,1.000000,308,76,0.887466,0.856575,0.000000,1.000000,0.956589,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,37
736,1.000000,308,76,0.893898,0.877148,0.000000,1.000000,0.955039,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,38
740,1.000000,308,76,0.900067,0.895667,0.000000,1.000000,0.953488,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,38
744,1.000000,308,76,0.905982,0.912241,0.000000,1.000000,0.951938,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,39
748,1.000000,308,76,0.911650,0.926976,0.000000,1.000000,0.950388,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,39
752,1.000000,308,76,0.917081,0.939979,0.000000,1.000000,0.948837,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,40
756,1.000000,308,76,0.922281,0.951357,0.000000,1.000000,0.947287,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,40
760,1.000000,308,76,0.927258,0.961214,0.000000,1.000000,0.945736,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,41
764,1.000000,308,76,0.932019,0.969657,0.083967,1.000000,0.944186,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,41
768,1.000000,308,76,0.936570,0.976791,0.162849,1.000000,0.942636,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,42
772,1.000000,308,76,0.940918,0.982722,0.236855,1.000000,0.941085,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,42
776,1.000000,308,76,0.945069,0.987557,0.306185,1.000000,0.939535,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,43
780,1.000000,308,76,0.949028,0.991404,0.371030,1.000000,0.937984,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,43
784,1.000000,308,76,0.952802,0.994371,0.431576,1.000000,0.936434,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,44
788,1.000000,308,76,0.956396,0.996569,0.488000,1.000000,0.934884,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,44
792,1.000000,308,76,0.959814,0.998109,0.540476,1.000000,0.933333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,45
